instance,seed,cutoff,size,ref,rel_err,valid,wall_time
large12,16,60,1438,1438,0.0000,1,60.6089
large12,17,60,1439,1438,0.0007,1,60.5003
large12,18,60,1440,1438,0.0014,1,60.4431
large12,19,60,1440,1438,0.0014,1,60.3299
large12,20,60,1442,1438,0.0028,1,60.1571
large12,21,60,1442,1438,0.0028,1,60.4142
large12,22,60,1440,1438,0.0014,1,60.4139
large12,23,60,1439,1438,0.0007,1,60.2188
large12,24,60,1438,1438,0.0000,1,60.4839
large12,25,60,1440,1438,0.0014,1,60.5229
large12,26,60,1439,1438,0.0007,1,60.3049
large12,27,60,1439,1438,0.0007,1,60.3373
large12,28,60,1443,1438,0.0035,1,60.1100
large12,29,60,1442,1438,0.0028,1,60.2164
large12,30,60,1441,1438,0.0021,1,60.1925
large12,31,60,1438,1438,0.0000,1,60.3148
large12,32,60,1441,1438,0.0021,1,60.7025
large12,33,60,1440,1438,0.0014,1,60.3993
large12,34,60,1439,1438,0.0007,1,60.6316
large12,35,60,1440,1438,0.0014,1,60.6210
large12,36,60,1441,1438,0.0021,1,60.1796
large12,37,60,1443,1438,0.0035,1,60.2719
large12,38,60,1443,1438,0.0035,1,60.3518
large12,39,60,1440,1438,0.0014,1,60.1454
large12,40,60,1442,1438,0.0028,1,60.3479
large12,41,60,1438,1438,0.0000,1,60.0562
large12,42,60,1440,1438,0.0014,1,60.2002
large12,43,60,1440,1438,0.0014,1,60.2974
large12,44,60,1442,1438,0.0028,1,60.2439
large12,45,60,1440,1438,0.0014,1,60.1512
large12,46,60,1440,1438,0.0014,1,60.2638
large12,47,60,1443,1438,0.0035,1,60.2703
large12,48,60,1440,1438,0.0014,1,60.2311
large12,49,60,1443,1438,0.0035,1,60.2232
large12,50,60,1440,1438,0.0014,1,60.6581
large2,1,60,594,594,0.0000,1,60.0037
large2,2,60,594,594,0.0000,1,60.0215
large2,3,60,594,594,0.0000,1,60.0105
large2,4,60,594,594,0.0000,1,60.0577
large2,5,60,594,594,0.0000,1,60.0244
large2,6,60,594,594,0.0000,1,60.0036
large2,7,60,594,594,0.0000,1,60.0063
large2,8,60,594,594,0.0000,1,60.0174
large2,9,60,594,594,0.0000,1,60.0071
large2,10,60,594,594,0.0000,1,60.0159
large2,11,60,594,594,0.0000,1,60.0059
large2,12,60,594,594,0.0000,1,60.0091
large2,13,60,594,594,0.0000,1,60.0184
large2,14,60,594,594,0.0000,1,60.0235
large2,15,60,594,594,0.0000,1,60.0057
large2,16,60,594,594,0.0000,1,60.0061
large2,17,60,594,594,0.0000,1,60.0233
large2,18,60,594,594,0.0000,1,60.0076
large2,19,60,594,594,0.0000,1,60.0018
large2,20,60,594,594,0.0000,1,60.0279
large2,21,60,594,594,0.0000,1,60.0114
large2,22,60,594,594,0.0000,1,60.0067
